,id,total_cases
0,0,1.0
1,1,2.0
2,2,3.0
3,3,3.0
4,4,3.0
5,5,3.0
6,6,3.0
7,7,3.0
8,8,3.0
9,9,3.0
10,10,3.0
11,11,3.0
12,12,3.0
13,13,3.0
14,14,3.0
15,15,3.0
16,16,3.0
17,17,3.0
18,18,3.0
19,19,3.0
20,20,3.0
21,21,3.0
22,22,3.0
23,23,3.0
24,24,3.0
25,25,3.0
26,26,3.0
27,27,3.0
28,28,3.0
29,29,3.0
30,30,5.0
31,31,5.0
32,32,28.0
33,33,30.0
34,34,31.0
35,35,34.0
36,36,39.0
37,37,43.0
38,38,56.0
39,39,62.0
40,40,73.0
41,41,82.0
42,42,102.0
43,43,113.0
44,44,119.0
45,45,142.0
46,46,156.0
47,47,194.0
48,48,244.0
49,49,330.0
50,50,396.0
51,51,499.0
52,52,536.0
53,53,657.0
54,54,727.0
55,55,887.0
56,56,987.0
57,57,1024.0
58,58,1251.0
59,59,1397.0
60,60,1998.0
61,61,2543.0
62,62,2567.0
63,63,3082.0
64,64,3588.0
65,65,4778.0
66,66,5311.0
67,67,5916.0
68,68,6725.0
69,69,7598.0
70,70,8446.0
71,71,9205.0
72,72,10453.0
73,73,11487.0
74,74,12322.0
75,75,13430.0
76,76,14352.0
77,77,15722.0
78,78,17615.0
79,79,18539.0
80,80,20080.0
81,81,21370.0
82,82,23077.0
83,83,24530.0
84,84,26283.0
85,85,27890.0
86,86,29451.0
87,87,31324.0
88,88,33062.0
89,89,34863.0
90,90,37257.0
91,91,39699.0
92,92,42505.0
93,93,46437.0
94,94,49400.0
95,95,52987.0
96,96,56351.0
97,97,59695.0
98,98,62808.0
99,99,67161.0
100,100,70768.0
101,101,74292.0
102,102,78055.0
103,103,81997.0
104,104,85784.0
105,105,90648.0
106,106,95698.0
107,107,100328.0
108,108,106475.0
109,109,112028.0
110,110,118226.0
111,111,124794.0
112,112,131423.0
113,113,138536.0
114,114,144950.0
115,115,150793.0
116,116,158086.0
117,117,165386.0
118,118,173491.0
119,119,181827.0
120,120,190609.0
121,121,198370.0
122,122,207191.0
123,123,216824.0
124,124,226713.0
125,125,236184.0
126,126,246622.0
127,127,257486.0
128,128,265928.0
129,129,276146.0
130,130,286605.0
131,131,297535.0
132,132,308993.0
133,133,320922.0
134,134,332424.0
135,135,343091.0
136,136,354065.0
137,137,366946.0
138,138,380532.0
139,139,395048.0
140,140,410451.0
141,141,425282.0
142,142,440215.0
143,143,456183.0
144,144,473105.0
145,145,490401.0
146,146,508953.0
147,147,528859.0
148,148,548318.0
149,149,566840.0
150,150,585481.0
151,151,604641.0
152,152,625544.0
153,153,648315.0
154,154,673165.0
155,155,697413.0
156,156,719664.0
157,157,742417.0
158,158,767296.0
159,159,793802.0
160,160,820916.0
161,161,849522.0
162,162,878254.0
163,163,906752.0
164,164,936181.0
165,165,968857.0
166,166,1003832.0
167,167,1039084.0
168,168,1077781.0
169,169,1118206.0
170,170,1155338.0
171,171,1193078.0
172,172,1238798.0
173,173,1288108.0
174,174,1337024.0
175,175,1385635.0
176,176,1435616.0
177,177,1480073.0
178,178,1531669.0
179,179,1581963.0
180,180,1634746.0
181,181,1695988.0
182,182,1750723.0
183,183,1803695.0
184,184,1855745.0
185,185,1908254.0
186,186,1964536.0
187,187,2027074.0
188,188,2088611.0
189,189,2153010.0
190,190,2215074.0
191,191,2268675.0
192,192,2329638.0
193,193,2396637.0
194,194,2461190.0
195,195,2525922.0
196,196,2589952.0
197,197,2647663.0
198,198,2702681.0
199,199,2767253.0
200,200,2836925.0
201,201,2905825.0
202,202,2975701.0
203,203,3044940.0
204,204,3106348.0
205,205,3167323.0
206,206,3224547.0
207,207,3310234.0
208,208,3387500.0
209,209,3463972.0
210,210,3542733.0
211,211,3621245.0
212,212,3691166.0
213,213,3769523.0
214,214,3853406.0
215,215,3936747.0
216,216,4023179.0
217,217,4113811.0
218,218,4204613.0
219,219,4280422.0
220,220,4370128.0
221,221,4465863.0
222,222,4562414.0
223,223,4659984.0
224,224,4754356.0
225,225,4846427.0
226,226,4930236.0
227,227,5020359.0
228,228,5118253.0
229,229,5214677.0
230,230,5308014.0
231,231,5400619.0
232,232,5487580.0
233,233,5562663.0
234,234,5646010.0
235,235,5732518.0
236,236,5818570.0
237,237,5903932.0
238,238,5992532.0
239,239,6074702.0
240,240,6145291.0
241,241,6225763.0
242,242,6312584.0
243,243,6394068.0
244,244,6473544.0
245,245,6549373.0
246,246,6623815.0
247,247,6685082.0
248,248,6757131.0
249,249,6835655.0
250,250,6906151.0
251,251,6979423.0
252,252,7053806.0
253,253,7120538.0
254,254,7175880.0
255,255,7239389.0
256,256,7307097.0
257,257,7370468.0
258,258,7432680.0
259,259,7494551.0
260,260,7550273.0
261,261,7597063.0
262,262,7651107.0
263,263,7706946.0
264,264,7761312.0
265,265,7814682.0
266,266,7864811.0
267,267,7909959.0
268,268,7946429.0
269,269,7990322.0
270,270,8040203.0
271,271,8088851.0
272,272,8137119.0
273,273,8184082.0
274,274,8229313.0
275,275,8267623.0
276,276,8313876.0
277,277,8364086.0
278,278,8411724.0
279,279,8462080.0
280,280,8507754.0
281,281,8553657.0
282,282,8591730.0
283,283,8636011.0
284,284,8683916.0
285,285,8728795.0
286,286,8773479.0
287,287,8814579.0
288,288,8845127.0
289,289,8874290.0
290,290,8912907.0
291,291,8958483.0
292,292,9004365.0
293,293,9050597.0
294,294,9095806.0
295,295,9139865.0
296,296,9177840.0
297,297,9222216.0
298,298,9266705.0
299,299,9309787.0
300,300,9351109.0
301,301,9392919.0
302,302,9431691.0
303,303,9462809.0
304,304,9499413.0
305,305,9534964.0
306,306,9571559.0
307,307,9608211.0
308,308,9644222.0
309,309,9677203.0
310,310,9703770.0
311,311,9735850.0
312,312,9767371.0
313,313,9796744.0
314,314,9826775.0
315,315,9857029.0
316,316,9884100.0
317,317,9906165.0
318,318,9932547.0
319,319,9956557.0
320,320,9979447.0
321,321,10004599.0
322,322,10031223.0
323,323,10055560.0
324,324,10075116.0
325,325,10099066.0
326,326,10123778.0
327,327,10146845.0
328,328,10169118.0
329,329,10187850.0
330,330,10207871.0
331,331,10224303.0
332,332,10244852.0
333,333,10266674.0
334,334,10286709.0
335,335,10305788.0
336,336,10323965.0
337,337,10340469.0
338,338,10356844.0
339,339,10374932.0
340,340,10395278.0
341,341,10413417.0
342,342,10413417.0
343,343,10450284.0
344,344,10466595.0
345,345,10479179.0
346,346,10495147.0
347,347,10512093.0
348,348,10527683.0
349,349,10542841.0
350,350,10557985.0
351,351,10571773.0
352,352,10581823.0
353,353,10595639.0
354,354,10610883.0
355,355,10625428.0
356,356,10639684.0
357,357,10654533.0
358,358,10667736.0
359,359,10676838.0
360,360,10689527.0
361,361,10701193.0
362,362,10720048.0
363,363,10733130.0
364,364,10746174.0
365,365,10757610.0
366,366,10766245.0
367,367,10777284.0
368,368,10790183.0
369,369,10802591.0
370,370,10814304.0
371,371,10826363.0
372,372,10838194.0
373,373,10847304.0
374,374,10858371.0
375,375,10871294.0
376,376,10880603.0
377,377,10892746.0
378,378,10904940.0
379,379,10916589.0
380,380,10925710.0
381,381,10937320.0
382,382,10950201.0
383,383,10963394.0
384,384,10977387.0
385,385,10991651.0
386,386,11005850.0
387,387,11016434.0
388,388,11030176.0
389,389,11046914.0
390,390,11063491.0
391,391,11079979.0
392,392,11096731.0
393,393,11112241.0
394,394,11124527.0
